date,category,description,amount
2025-05-29,Eating Out,Cafe,-450575
2025-05-29,Groceries,Vegetable market,-670792
2025-05-29,Groceries,Vegetable market,-1264368
2025-05-29,Shopping,Electronics,-873328
2025-05-29,Gift,Gift from family,1542665
2025-05-29,Rent,Apartment rent,-14661534
2025-05-29,Utilities,Electricity bill,-1316004
2025-05-29,Utilities,Water bill,-1357366
2025-05-30,Utilities,Electricity bill,-1717441
2025-05-30,Eating Out,Street food,-131857
2025-05-30,Loan Payment,Loan repayment,-5908909
2025-05-30,Eating Out,Street food,-712060
2025-05-30,Groceries,Supermarket,-872551
2025-05-30,Groceries,Vegetable market,-463365
2025-05-30,Entertainment,Movie,-387254
2025-05-31,Shopping,Electronics,-1593739
2025-05-31,Eating Out,Restaurant,-260942
2025-05-31,Shopping,Clothes,-2327876
2025-05-31,Eating Out,Cafe,-197516
2025-06-01,Misc,Miscellaneous,-72526
2025-06-01,Shopping,Electronics,-1534489
2025-06-01,Salary,Monthly salary,14837866
2025-06-01,Utilities,Electricity bill,-1553017
2025-06-01,Health,Doctor appointment,-415691
2025-06-01,Gift,Gift from family,384672
2025-06-01,Eating Out,Restaurant,-598920
2025-06-02,Eating Out,Street food,-479707
2025-06-02,Interest,Bank interest,1729634
2025-06-02,Health,Pharmacy,-269712
2025-06-02,Gift,Gift from family,2124964
2025-06-02,Eating Out,Street food,-651829
2025-06-03,Transport,Gas,-283683
2025-06-03,Rent,Apartment rent,-14127574
2025-06-03,Eating Out,Restaurant,-749892
2025-06-03,Utilities,Internet,-1455197
2025-06-03,Loan Payment,Loan repayment,-5357633
2025-06-03,Loan Payment,Loan repayment,-5745620
2025-06-03,Health,Pharmacy,-95815
2025-06-04,Salary,Monthly salary,28533040
2025-06-04,Gift,Gift from family,884884
2025-06-04,Eating Out,Restaurant,-122929
2025-06-04,Transport,Gas,-493423
2025-06-04,Entertainment,Streaming,-191035
2025-06-04,Groceries,Supermarket,-62166
2025-06-05,Loan Payment,Loan repayment,-6391188
2025-06-05,Health,Pharmacy,-524263
2025-06-05,Health,Pharmacy,-253301
2025-06-05,Misc,Miscellaneous,-89343
2025-06-05,Loan Payment,Loan repayment,-2248281
2025-06-05,Groceries,Supermarket,-405196
2025-06-05,Entertainment,Streaming,-727419
2025-06-06,Eating Out,Restaurant,-372510
2025-06-06,Misc,Miscellaneous,-98479
2025-06-06,Groceries,Supermarket,-420842
2025-06-06,Loan Payment,Loan repayment,-3743478
2025-06-06,Salary,Monthly salary,34186374
2025-06-06,Shopping,Clothes,-2413087
2025-06-06,Interest,Bank interest,86004
2025-06-06,Health,Pharmacy,-1751658
2025-06-07,Groceries,Supermarket,-1356768
2025-06-07,Freelance,Project payment,10378459
2025-06-07,Eating Out,Cafe,-315467
2025-06-07,Entertainment,Movie,-801974
2025-06-07,Groceries,Vegetable market,-1176692
2025-06-07,Transport,Taxi,-59525
2025-06-07,Misc,Miscellaneous,-109182
2025-06-07,Groceries,Supermarket,-1382553
2025-06-08,Transport,Public transport,-391607
2025-06-09,Entertainment,Movie,-157297
2025-06-09,Utilities,Internet,-327436
2025-06-09,Misc,Miscellaneous,-28956
2025-06-09,Entertainment,Streaming,-268340
2025-06-09,Misc,Miscellaneous,-105860
2025-06-09,Freelance,Project payment,11972399
2025-06-09,Shopping,Electronics,-1895746
2025-06-10,Shopping,Clothes,-3634352
2025-06-10,Entertainment,Movie,-311277
2025-06-10,Misc,Miscellaneous,-201910
2025-06-10,Utilities,Water bill,-443760
2025-06-10,Loan Payment,Loan repayment,-3530180
2025-06-10,Rent,Apartment rent,-13118583
2025-06-10,Misc,Miscellaneous,-102356
2025-06-10,Health,Pharmacy,-120725
2025-06-10,Eating Out,Street food,-270252
2025-06-10,Entertainment,Concert,-504313
2025-06-11,Transport,Taxi,-171331
2025-06-11,Rent,Apartment rent,-11106822
2025-06-12,Salary,Monthly salary,38937320
2025-06-12,Shopping,Home items,-2572374
2025-06-12,Loan Payment,Loan repayment,-7505793
2025-06-12,Eating Out,Street food,-627721
2025-06-12,Utilities,Water bill,-1237242
2025-06-12,Eating Out,Cafe,-650477
2025-06-12,Loan Payment,Loan repayment,-2088961
2025-06-13,Rent,Apartment rent,-11092240
2025-06-14,Loan Payment,Loan repayment,-4168716
2025-06-14,Entertainment,Concert,-560097
2025-06-15,Transport,Gas,-454447
2025-06-15,Misc,Miscellaneous,-455413
2025-06-16,Salary,Monthly salary,10462217
2025-06-16,Health,Pharmacy,-104692
2025-06-16,Health,Doctor appointment,-537637
2025-06-16,Shopping,Electronics,-4041991
2025-06-16,Eating Out,Cafe,-636485
2025-06-16,Loan Payment,Loan repayment,-5572820
2025-06-16,Entertainment,Movie,-283914
2025-06-16,Transport,Taxi,-341424
2025-06-16,Entertainment,Streaming,-554795
2025-06-17,Gift,Birthday gift,2173159
2025-06-17,Interest,Bank interest,1402772
2025-06-17,Entertainment,Streaming,-394317
2025-06-18,Groceries,Vegetable market,-243324
2025-06-18,Entertainment,Streaming,-724750
2025-06-18,Salary,Monthly salary,34288746
2025-06-18,Transport,Public transport,-383760
2025-06-18,Loan Payment,Loan repayment,-8013889
2025-06-18,Health,Doctor appointment,-181055
2025-06-18,Groceries,Supermarket,-501078
2025-06-19,Health,Pharmacy,-1833836
2025-06-19,Misc,Miscellaneous,-290607
2025-06-19,Shopping,Clothes,-916836
2025-06-19,Health,Doctor appointment,-994479
2025-06-19,Entertainment,Concert,-964998
2025-06-19,Groceries,Vegetable market,-1023775
2025-06-19,Groceries,Supermarket,-148878
2025-06-20,Salary,Monthly salary,30512719
2025-06-20,Rent,Apartment rent,-12635275
2025-06-20,Shopping,Home items,-598217
2025-06-20,Entertainment,Movie,-400199
2025-06-20,Gift,Gift from family,2816826
2025-06-20,Health,Pharmacy,-420572
2025-06-21,Utilities,Internet,-1928970
2025-06-22,Interest,Bank interest,1815099
2025-06-22,Transport,Taxi,-381583
2025-06-22,Salary,Monthly salary,18959816
2025-06-22,Gift,Gift from family,1778626
2025-06-22,Health,Pharmacy,-572858
2025-06-22,Loan Payment,Loan repayment,-7176988
2025-06-22,Transport,Gas,-355554
2025-06-22,Loan Payment,Loan repayment,-6510677
2025-06-22,Loan Payment,Loan repayment,-9688311
2025-06-23,Loan Payment,Loan repayment,-2661469
2025-06-23,Entertainment,Concert,-215381
2025-06-23,Freelance,Client payment,7567963
2025-06-23,Entertainment,Streaming,-276094
2025-06-23,Loan Payment,Loan repayment,-520762
2025-06-24,Health,Doctor appointment,-352844
2025-06-24,Entertainment,Streaming,-817635
2025-06-25,Groceries,Supermarket,-450900
2025-06-25,Salary,Monthly salary,10991859
2025-06-25,Salary,Monthly salary,25305099
2025-06-25,Entertainment,Concert,-55874
2025-06-25,Health,Pharmacy,-1109470
2025-06-25,Groceries,Vegetable market,-325767
2025-06-25,Shopping,Clothes,-1755333
2025-06-25,Eating Out,Street food,-414994
2025-06-25,Salary,Monthly salary,27718628
2025-06-26,Eating Out,Restaurant,-470976
2025-06-26,Freelance,Client payment,4338213
2025-06-26,Utilities,Internet,-1773045
2025-06-26,Entertainment,Concert,-574886
2025-06-27,Loan Payment,Loan repayment,-3623688
2025-06-27,Eating Out,Street food,-696427
2025-06-28,Entertainment,Concert,-923358
2025-06-28,Utilities,Internet,-635636
2025-06-28,Freelance,Client payment,12152265
2025-06-28,Shopping,Home items,-2052236
2025-06-28,Transport,Gas,-436072
